RatingID,ParentRatingID,LBRatingID,AnnualTurnover,AnnualTurnoverDirect,AnnualTurnoverParent,AnnualTurnoverLBR,TotalAssets,TotalAssetsDirect,TotalAssetsParent,TotalAssetsLBR
2905966,2905966,null,null,null,null,null,88489000,88489000,88489000,null
2815776,2815776,null,1780000,1780000,1780000,null,2678000,2678000,2678000,null
2939237,2939237,null,120012000,120012000,120012000,null,60077000,60077000,60077000,null
2872896,2872896,null,41067189.1206638,41067189.1206638,41067189.1206638,null,11260804.4254927,11260804.4254927,11260804.4254927,null
2874368,2874368,null,16171000,16171000,16171000,null,21021000,21021000,21021000,null
2876640,2876640,null,3713000,3713000,3713000,null,5702000,5702000,5702000,null
2782074,2782074,null,343757000,343757000,343757000,null,752078000,752078000,752078000,null
2942328,2942328,null,6308000,6308000,6308000,null,8215000,8215000,8215000,null
2949474,2949474,null,1474707000,1474707000,1474707000,null,192237311000,192237311000,192237311000,null
2914130,2914130,null,14775000,14775000,14775000,null,5762000,5762000,5762000,null
2853153,2853153,null,187314000,187314000,187314000,null,95278000,95278000,95278000,null
2912472,2912472,null,44220000,44220000,44220000,null,21778000,21778000,21778000,null
2892342,2892342,null,9330000,9330000,9330000,null,4064000,4064000,4064000,null
2944158,2944158,null,9200000,9200000,9200000,null,6923000,6923000,6923000,null
2884946,2884946,null,32551000,32551000,32551000,null,15382000,15382000,15382000,null
2894541,2894541,null,9650000,9650000,9650000,null,8712000,8712000,8712000,null
2947224,2947224,null,3835000,3835000,3835000,null,7557000,7557000,7557000,null
2911082,2911082,null,6439000,6439000,6439000,null,89161000,89161000,89161000,null
2859803,2859803,null,12389490.3022102,12389490.3022102,12389490.3022102,null,71724176.8155165,71724176.8155165,71724176.8155165,null
2909095,2909095,null,208493000,208493000,208493000,null,266321000,266321000,266321000,null
2931783,2931783,null,814000,814000,814000,null,9851000,9851000,9851000,null
2761457,2761457,null,15786000,15786000,15786000,null,19067000,19067000,19067000,null
2901041,2901041,null,82913678,82913678,82913678,null,96908000,96908000,96908000,null
2869419,2869419,null,542000,542000,542000,null,6967000,6967000,6967000,null
2887671,2887671,null,67176000,67176000,67176000,null,15101000,15101000,15101000,null
2822275,2822275,null,28272000,28272000,28272000,null,6292000,6292000,6292000,null
2819907,2819907,null,6272000,6272000,6272000,null,8260000,8260000,8260000,null
2936712,2936712,null,59299000,59299000,59299000,null,19431000,19431000,19431000,null
2948946,2948946,null,1760000,1760000,1760000,null,2648000,2648000,2648000,null
2943630,2943630,null,24593000,24593000,24593000,null,21570000,21570000,21570000,null
2742476,2742476,null,2569000,2569000,2569000,null,639000,639000,639000,null
2844448,2844448,null,8049000,8049000,8049000,null,13559000,13559000,13559000,null
2900501,2900501,null,5046000,5046000,5046000,null,9350000,9350000,9350000,null
