EXMPTN_CNDTN_ID,EXMPTN_ID,SRCE_SSTM_CMPNNT_ID,PD_RTNG_MDL,RPRTNG_ENTTY_CD,BSL_II_PRDCT_TYP_CD,RPRTNG_CRTSS_ACCNT_CD,BSL_II_CNTRPRTY_TYP_CD,RTL_CRDT_EXPSR_PRTFL_CD,CSTMR_MRKT_SGMNT_ID,LGD_RTNG_MDL,LGL_ENTTY,EX_FBN_FLG,INTRCMPNY_FLG,CNTRPRTY_ID,DL_SRC_SSTM_CMPNNT_CD,EFFCTV_STATUS,EFFCTV_STRT_DT,EFFCTV_END_DT,BSL_APPRCH,EC_MDL_INPT_INDCTR,EC_PRXD_INDCTR,GLBL_CNTRPRTY_IDNTFR,MIN_TURNOVER,SOURCED_EXEMPTION_ID,PL_NPL_INDICATOR,SPECIALISED_LENDING_TYPE
1534,Article_151_8,null,PINCWW05,null,null,null,null,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
154,Ex_Non_Material,null,null,208152,null,null,null,null,null,null,null,null,null,null,null,Active,30-01-2025,31-12-9999,STD,N,Y,null,null,null,null,*
155,Ex_Non_Material,null,null,208173,null,null,null,null,null,null,null,null,null,null,null,Active,30-01-2025,31-12-9999,STD,N,Y,null,null,null,null,*
1550,PCFPWW04_ECFOU,null,PCFPWW04,null,null,null,null,null,null,null,null,null,null,null,null,Active,25-01-2025,31-12-9999,FOU,Y,N,null,null,null,null,*
1551,AIRB_SL_Commodities_Finance,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,IRB,Y,N,null,null,null,null,CF
1552,AIRB_SL_CRE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,IRB,Y,N,null,null,null,null,IPREF-CRE
1553,AIRB_SL_RRE,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,IRB,Y,N,null,null,null,null,IPREF-RRE
1554,AIRB_SL_Object_Finance,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,IRB,Y,N,null,null,null,null,OF
1555,AIRB_SL_Project_Finance,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,IRB,Y,N,null,null,null,null,PF
1556,LC_above_500mln_ECIRB,null,null,null,null,null,CIU_NONREG,null,null,null,null,null,null,null,null,Active,01-05-2025,31-12-9999,FOU,Y,N,null,null,LC_above_500mln,null,*
1557,LC_above_500mln_ECIRB,null,null,null,null,null,CIU_REG,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,FOU,Y,N,null,null,LC_above_500mln,null,*
1558,LC_above_500mln_ECIRB,null,null,null,null,null,CI_UNREG,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,FOU,Y,N,null,null,LC_above_500mln,null,*
1559,LC_above_500mln_ECIRB,null,null,null,null,null,CLEAR_CORP,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,FOU,Y,N,null,null,LC_above_500mln,null,*
156,Ex_Non_Material,null,null,208291,null,null,null,null,null,null,null,null,null,null,null,Active,30-01-2025,31-12-9999,STD,N,Y,null,null,null,null,*
1560,LC_above_500mln_ECIRB,null,null,null,null,null,CORP,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,FOU,Y,N,null,null,LC_above_500mln,null,*
1561,LC_above_500mln_ECIRB,null,null,null,null,null,CORP_PSE,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,FOU,Y,N,null,null,LC_above_500mln,null,*
1562,LC_above_500mln_ECIRB,null,null,null,null,null,ECA_CORP,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,FOU,Y,N,null,null,LC_above_500mln,null,*
1563,LC_above_500mln_ECIRB,null,null,null,null,null,EXCHANGE,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,FOU,Y,N,null,null,LC_above_500mln,null,*
1564,LC_above_500mln_ECIRB,null,null,null,null,null,FI_UNREG,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,FOU,Y,N,null,null,LC_above_500mln,null,*
1565,LC_above_500mln_ECIRB,null,null,null,null,null,IB_PD_UNREG,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,FOU,Y,N,null,null,LC_above_500mln,null,*
1566,LC_above_500mln_ECIRB,null,null,null,null,null,IF,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,FOU,Y,N,null,null,LC_above_500mln,null,*
1567,LC_above_500mln_ECIRB,null,null,null,null,null,INTORG_C,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,FOU,Y,N,null,null,LC_above_500mln,null,*
1568,LC_above_500mln_ECIRB,null,null,null,null,null,MDB_B_UNREG,null,null,null,null,null,null,null,null,Active,30-04-2025,31-12-9999,FOU,Y,N,null,null,LC_above_500mln,null,*
